chanquan,chanquansuoshu,danjia,dianti,diyaxinxi,fangben,fanghuyongtu,fangwunianxian,fangxiang,gongnuan,guapai,huxing,huxingjiegou,huxingleixing,jianzhunian,jiaoyiquanshu,louceng,mianji,name,qu,shangcijiaoyi,tihu,zhuangxiu,zongjia
70年,非共有,94655,有,无抵押,已上传房本照片,普通住宅,满五年,南 北,集中供暖,2018-12-17,2室1厅1厨1卫,平层,板塔结合,1998年建/板塔结合,已购公房,底层 (共13层),110.93㎡,小黄庄一区,东城安贞,2010-10-19,两梯两户,精装,1050
70年,非共有,38651,有,无抵押,已上传房本照片,普通住宅,满五年,东北,集中供暖,2017-10-11,2室1厅1厨1卫,平层,板塔结合,2010年建/板塔结合,一类经济适用房,顶层 (共28层),69.34㎡,金隅丽景园,朝阳常营,2010-10-15,两梯八户,简装,268
70年,非共有,59698,有,无抵押,已上传房本照片,普通住宅,满五年,东南,集中供暖,2017-04-26,3室2厅1厨2卫,平层,塔楼,2001年建/塔楼,商品房,中楼层 (共31层),242.89㎡,嘉和丽园,朝阳燕莎,2003-11-07,两梯四户,精装,1450
70年,非共有,89286,有,无抵押,已上传房本照片,普通住宅,满五年,东南,集中供暖,2018-05-28,3室2厅1厨2卫,平层,塔楼,2002年建/塔楼,商品房,顶层 (共18层),136.64㎡,绿景苑,东城广渠门,2006-07-03,两梯八户,精装,1220
70年,共有,51049,有,有抵押 100万元 农业银行 客户偿还,已上传房本照片,普通住宅,满五年,南 北,集中供暖,2018-12-24,2室1厅1厨1卫,平层,板楼,2011年建/板楼,商品房,中楼层 (共18层),91.09㎡,上奥世纪中心,昌平西三旗,2013-12-13,一梯两户,精装,465
70年,非共有,57008,有,有抵押 100万元 北京银行 客户偿还,已上传房本照片,普通住宅,满五年,南 北,集中供暖,2018-03-02,2室1厅1厨1卫,平层,板塔结合,2008年建/板塔结合,商品房,低楼层 (共20层),86.83㎡,北京北,昌平立水桥,2011-01-17,两梯四户,精装,495
70年,非共有,64663,有,有抵押 业主自还,已上传房本照片,普通住宅,满五年,西北,自供暖,2018-03-08,2室1厅1厨1卫,平层,板塔结合,2002年建/板塔结合,商品房,中楼层 (共11层),112.12㎡,天天家园,东城永定门,2011-08-24,两梯十二户,简装,725
70年,非共有,59941,无,无抵押,已上传房本照片,普通住宅,满两年,南 北,自供暖,2018-12-28,3室2厅1厨2卫,平层,板楼,2004年建/板楼,已购公房,中楼层 (共6层),130.13㎡,枫泽园,丰台玉泉营,2015-11-27,一梯两户,简装,780
70年,非共有,43088,有,无抵押,已上传房本照片,普通住宅,满五年,东北,自供暖,2018-12-23,2室1厅1厨1卫,平层,塔楼,2008年建/塔楼,商品房,高楼层 (共24层),80.07㎡,晓月新城,丰台卢沟桥,2011-04-20,三梯十二户,精装,345
70年,非共有,101577,有,暂无数据,已上传房本照片,普通住宅,满五年,东 西,自供暖,2018-07-21,2室2厅1厨1卫,平层,板塔结合,2004年建/板塔结合,商品房,低楼层 (共14层),107.8㎡,远见名苑,西城广安门,2010-08-30,一梯两户,精装,1095
70年,非共有,63195,有,无抵押,已上传房本照片,普通住宅,满五年,南 北,集中供暖,2018-08-24,2室1厅1厨1卫,平层,板塔结合,2006年建/板塔结合,商品房,中楼层 (共20层),108.87㎡,晶都国际,朝阳酒仙桥,2010-07-27,两梯三户,精装,688
70年,共有,41323,有,无抵押,已上传房本照片,普通住宅,满五年,东 南,集中供暖,2018-12-05,3室1厅1厨1卫,平层,板塔结合,2009年建/板塔结合,一类经济适用房,高楼层 (共28层),89.54㎡,金隅丽景园,朝阳常营,2010-12-29,两梯八户,精装,370
70年,非共有,66651,有,有抵押 550万元 担保公司 客户偿还,已上传房本照片,普通住宅,满五年,南 北,自供暖,2018-06-08,3室2厅1厨2卫,平层,板楼,2003年建/板楼,商品房,高楼层 (共10层),124.53㎡,益城园,丰台马家堡,2004-06-07,一梯三户,精装,830
70年,非共有,51825,无,无抵押,已上传房本照片,普通住宅,满五年,东 西,集中供暖,2018-12-22,2室1厅1厨1卫,平层,板楼,1998年建/板楼,商品房,顶层 (共6层),76.99㎡,西马金润二区,丰台马家堡,2009-12-16,一梯两户,精装,399
70年,非共有,51216,无,无抵押,已上传房本照片,普通住宅,满五年,南,集中供暖,2018-08-09,2室1厅1厨1卫,平层,板楼,2002年建/板楼,商品房,中楼层 (共6层),88.84㎡,美然动力A3区,朝阳定福庄,2007-11-13,一梯四户,简装,455
70年,非共有,33017,无,无抵押,已上传房本照片,普通住宅,满两年,南 西 北,自供暖,2018-08-09,3室1厅1厨2卫,平层,板楼,2007年建/板楼,商品房,顶层 (共6层),134.78㎡,龙锦苑东二区,昌平霍营,2014-05-26,一梯两户,精装,445
70年,非共有,94996,有,暂无数据,已上传房本照片,普通住宅,满五年,南,集中供暖,2018-08-10,2室1厅1厨1卫,平层,板塔结合,1990年建/板塔结合,已购公房,低楼层 (共20层),70.53㎡,核桃园北里,朝阳东大桥,1996-06-30,四梯十四户,其他,670
70年,非共有,107584,有,有抵押 600万元 600万 客户偿还,已上传房本照片,普通住宅,满两年,南 北,集中供暖,2018-11-17,4室2厅1厨2卫,跃层,板楼,2012年建/板楼,商品房,高楼层 (共28层),246.32㎡,东湖湾三期,朝阳望京,2014-04-15,两梯两户,精装,2650
70年,非共有,42541,有,无抵押,已上传房本照片,普通住宅,满五年,南 北,集中供暖,2018-11-14,3室1厅1厨2卫,平层,板塔结合,2007年建/板塔结合,私产,中楼层 (共15层),138.69㎡,东一时区,朝阳双桥,2008-03-24,一梯三户,简装,590
70年,非共有,87497,有,无抵押,已上传房本照片,普通住宅,满两年,东 北,集中供暖,2018-11-12,3室2厅1厨2卫,平层,塔楼,2006年建/塔楼,商品房,高楼层 (共18层),177.15㎡,京桥国际公馆,西城车公庄,2014-05-29,三梯八户,精装,1550
70年,非共有,45927,无,暂无数据,已上传房本照片,普通住宅,满五年,南 北,集中供暖,2018-11-17,2室1厅1厨1卫,平层,板楼,1997年建/板楼,商品房,底层 (共6层),58.79㎡,清逸西园,大兴旧宫,2013-12-09,一梯三户,其他,270
70年,非共有,36954,有,无抵押,已上传房本照片,普通住宅,满五年,西南,集中供暖,2018-11-10,3室1厅1厨2卫,平层,塔楼,2000年建/塔楼,商品房,高楼层 (共24层),146.13㎡,京通苑,朝阳管庄,2010-03-17,两梯八户,精装,540
70年,非共有,59927,有,暂无数据,已上传房本照片,普通住宅,满五年,西北,集中供暖,2018-11-12,2室1厅1厨1卫,平层,塔楼,2005年建/塔楼,商品房,中楼层 (共21层),98.12㎡,瑞丽江畔,丰台马家堡,2007-07-10,三梯十二户,简装,588
70年,非共有,64400,有,无抵押,已上传房本照片,普通住宅,满五年,西南,集中供暖,2018-11-08,2室2厅1厨2卫,平层,塔楼,2002年建/塔楼,私产,高楼层 (共30层),116.46㎡,远洋天地二期,朝阳四惠,2004-06-10,三梯八户,简装,750
70年,共有,114997,有,无抵押,已上传房本照片,普通住宅,满五年,南 北,集中供暖,2018-11-06,2室2厅1厨1卫,平层,板塔结合,2010年建/板塔结合,商品房,低楼层 (共19层),90.09㎡,中海紫御公馆,东城陶然亭,2012-01-04,两梯六户,精装,1036
70年,非共有,45946,有,无抵押,已上传房本照片,普通住宅,满两年,南 北,集中供暖,2018-11-06,3室1厅1厨2卫,平层,板楼,2013年建/板楼,商品房,低楼层 (共23层),119.49㎡,梧桐苑清露园,门头沟门头沟其它,2015-07-31,两梯四户,毛坯,549
70年,非共有,74284,无,无抵押,已上传房本照片,普通住宅,满两年,南 北,集中供暖,2018-11-04,3室2厅1厨2卫,平层,板楼,2005年建/板楼,商品房,中楼层 (共6层),123.85㎡,春季星空,丰台草桥,2014-10-24,一梯三户,精装,920
70年,非共有,61563,有,无抵押,已上传房本照片,普通住宅,满五年,南,集中供暖,2018-10-29,2室1厅1厨1卫,平层,板塔结合,2000年建/板塔结合,央产房,低楼层 (共16层),97.3㎡,华威西里,朝阳潘家园,2003-12-01,两梯八户,其他,599
70年,非共有,92141,有,无抵押,已上传房本照片,普通住宅,满两年,东南,集中供暖,2018-11-05,2室1厅1厨1卫,平层,塔楼,1997年建/塔楼,商品房,顶层 (共18层),63.49㎡,马连道中里,西城马连道,2015-03-18,两梯四户,精装,585
70年,非共有,105167,有,无抵押,已上传房本照片,普通住宅,满五年,西南,自供暖,2018-10-27,3室1厅1厨2卫,平层,板塔结合,2003年建/板塔结合,商品房,高楼层 (共21层),152.14㎡,和平新城一期,东城和平里,2008-02-26,三梯十户,简装,1600
70年,非共有,75472,有,无抵押,已上传房本照片,普通住宅,满五年,南,集中供暖,2018-10-26,4室1厅1厨2卫,平层,塔楼,1992年建/塔楼,已购公房,高楼层 (共18层),106㎡,芳古园一区,丰台方庄,2013-12-26,两梯四户,简装,800
